"","ko","module","ko_description","module_description"
"1655","K11007","M00363","stxB; shiga toxin subunit B","EHEC pathogenicity signature, Shiga toxin"
"1656","K01823","M00364","idi, IDI; isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]","C10-C20 isoprenoid biosynthesis, bacteria"
"1657","K00795","M00364","ispA; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]","C10-C20 isoprenoid biosynthesis, bacteria"
"1658","K13789","M00364","GGPS; geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]","C10-C20 isoprenoid biosynthesis, bacteria"
"1659","K13787","M00364","idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]","C10-C20 isoprenoid biosynthesis, bacteria"
"1660","K01823","M00365","idi, IDI; isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]","C10-C20 isoprenoid biosynthesis, archaea"
"1661","K13787","M00365","idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]","C10-C20 isoprenoid biosynthesis, archaea"
"1662","K01823","M00366","idi, IDI; isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]","C10-C20 isoprenoid biosynthesis, plants"
"1663","K14066","M00366","GPS; geranyl diphosphate synthase [EC:2.5.1.1]","C10-C20 isoprenoid biosynthesis, plants"
"1664","K00787","M00366","FDPS; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]","C10-C20 isoprenoid biosynthesis, plants"
"1665","K13789","M00366","GGPS; geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]","C10-C20 isoprenoid biosynthesis, plants"
"1666","K01823","M00367","idi, IDI; isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]","C10-C20 isoprenoid biosynthesis, non-plant eukaryotes"
"1667","K00787","M00367","FDPS; farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]","C10-C20 isoprenoid biosynthesis, non-plant eukaryotes"
"1668","K00804","M00367","GGPS1; geranylgeranyl diphosphate synthase, type III [EC:2.5.1.1 2.5.1.10 2.5.1.29]","C10-C20 isoprenoid biosynthesis, non-plant eukaryotes"
"1669","K00789","M00368","metK, MAT; S-adenosylmethionine synthetase [EC:2.5.1.6]","Ethylene biosynthesis, methionine => ethylene"
"1670","K01762","M00368","ACS; 1-aminocyclopropane-1-carboxylate synthase [EC:4.4.1.14]","Ethylene biosynthesis, methionine => ethylene"
"1671","K20772","M00368","ACS1_2_6; 1-aminocyclopropane-1-carboxylate synthase 1/2/6 [EC:4.4.1.14]","Ethylene biosynthesis, methionine => ethylene"
"1672","K05933","M00368","E1.14.17.4; aminocyclopropanecarboxylate oxidase [EC:1.14.17.4]","Ethylene biosynthesis, methionine => ethylene"
"1673","K13027","M00369","CYP79A1; tyrosine N-monooxygenase [EC:1.14.14.36]","Cyanogenic glycoside biosynthesis, tyrosine => dhurrin"
"1674","K13029","M00369","CYP71E1; 4-hydroxyphenylacetaldehyde oxime monooxygenase [EC:1.14.14.37]","Cyanogenic glycoside biosynthesis, tyrosine => dhurrin"
"1675","K13030","M00369","UGT85B1; cyanohydrin beta-glucosyltransferase [EC:2.4.1.85]","Cyanogenic glycoside biosynthesis, tyrosine => dhurrin"
"1676","K11812","M00370","CYP79B1_2; tryptophan N-monooxygenase [EC:1.14.14.156]","Glucosinolate biosynthesis, tryptophan => glucobrassicin"
"1677","K11813","M00370","CYP79B3; tryptophan N-monooxygenase [EC:1.14.14.156]","Glucosinolate biosynthesis, tryptophan => glucobrassicin"
"1678","K11818","M00370","CYP83B1; aromatic aldoxime N-monooxygenase [EC:1.14.14.45]","Glucosinolate biosynthesis, tryptophan => glucobrassicin"
"1679","K11819","M00370","SUR1, RTY; S-alkyl-thiohydroximate lyase SUR1 [EC:4.4.1.-]","Glucosinolate biosynthesis, tryptophan => glucobrassicin"
"1680","K11820","M00370","UGT74B1; N-hydroxythioamide S-beta-glucosyltransferase [EC:2.4.1.195]","Glucosinolate biosynthesis, tryptophan => glucobrassicin"
"1681","K11821","M00370","ST5A, SOT16; aromatic desulfoglucosinolate sulfotransferase [EC:2.8.2.24]","Glucosinolate biosynthesis, tryptophan => glucobrassicin"
"1682","K09587","M00371","CYP90B, DWF4; steroid 22S-hydroxylase [EC:1.14.14.178]","Castasterone biosynthesis, campesterol => castasterone"
"1683","K12639","M00371","CYP724, D11; steroid 22S-hydroxylase [EC:1.14.14.178]","Castasterone biosynthesis, campesterol => castasterone"
"1684","K09588","M00371","CYP90A1, CPD; 3beta,22alpha-dihydroxysteroid 3-dehydrogenase [EC:1.14.19.79]","Castasterone biosynthesis, campesterol => castasterone"
"1685","K09591","M00371","DET2; steroid 5-alpha-reductase [EC:1.3.1.22]","Castasterone biosynthesis, campesterol => castasterone"
"1686","K12637","M00371","CYP90C1, ROT3; 3-epi-6-deoxocathasterone 23-monooxygenase [EC:1.14.14.147]","Castasterone biosynthesis, campesterol => castasterone"
"1687","K12638","M00371","CYP90D1; 3-epi-6-deoxocathasterone 23-monooxygenase [EC:1.14.14.147]","Castasterone biosynthesis, campesterol => castasterone"
"1688","K20623","M00371","CYP92A6; typhasterol/6-deoxotyphasterol 2alpha-hydroxylase","Castasterone biosynthesis, campesterol => castasterone"
"1689","K09590","M00371","CYP85A1, BR6OX1; brassinosteroid 6-oxygenase [EC:1.14.14.179]","Castasterone biosynthesis, campesterol => castasterone"
"1690","K12640","M00371","CYP85A2, BR6OX2; brassinosteroid 6-oxygenase / brassinolide synthase [EC:1.14.14.179 1.14.14.180]","Castasterone biosynthesis, campesterol => castasterone"
"1691","K25959","M00371","CYP85A3; brassinosteroid 6-oxygenase / brassinolide synthase [EC:1.14.14.179 1.14.14.180]","Castasterone biosynthesis, campesterol => castasterone"
"1692","K15746","M00372","crtZ; beta-carotene 3-hydroxylase [EC:1.14.15.24]","Abscisic acid biosynthesis, beta-carotene => abscisic acid"
"1693","K15747","M00372","LUT5, CYP97A3; beta-ring hydroxylase [EC:1.14.-.-]","Abscisic acid biosynthesis, beta-carotene => abscisic acid"
"1694","K09838","M00372","ZEP, ABA1; zeaxanthin epoxidase [EC:1.14.15.21]","Abscisic acid biosynthesis, beta-carotene => abscisic acid"
"1695","K14594","M00372","NSY; neoxanthin synthase [EC:5.3.99.9]","Abscisic acid biosynthesis, beta-carotene => abscisic acid"
"1696","K09840","M00372","NCED; 9-cis-epoxycarotenoid dioxygenase [EC:1.13.11.51]","Abscisic acid biosynthesis, beta-carotene => abscisic acid"
"1697","K09841","M00372","ABA2; xanthoxin dehydrogenase [EC:1.1.1.288]","Abscisic acid biosynthesis, beta-carotene => abscisic acid"
"1698","K09842","M00372","AAO3; abscisic-aldehyde oxidase [EC:1.2.3.14]","Abscisic acid biosynthesis, beta-carotene => abscisic acid"
"1699","K00626","M00373","ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]","Ethylmalonyl pathway"
"1700","K00023","M00373","phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]","Ethylmalonyl pathway"
"1701","K17865","M00373","croR; 3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]","Ethylmalonyl pathway"
"1702","K14446","M00373","ccr; crotonyl-CoA carboxylase/reductase [EC:1.3.1.85]","Ethylmalonyl pathway"
"1703","K14447","M00373","ecm; ethylmalonyl-CoA mutase [EC:5.4.99.63]","Ethylmalonyl pathway"
"1704","K14448","M00373","mcd; (2S)-methylsuccinyl-CoA dehydrogenase [EC:1.3.8.12]","Ethylmalonyl pathway"
"1705","K14449","M00373","mch, mcd; 2-methylfumaryl-CoA hydratase [EC:4.2.1.148]","Ethylmalonyl pathway"
"1706","K08691","M00373","mcl; malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]","Ethylmalonyl pathway"
"1707","K14451","M00373","mcl2; (3S)-malyl-CoA thioesterase [EC:3.1.2.30]","Ethylmalonyl pathway"
"1708","K01965","M00373","PCCA, pccA; propionyl-CoA carboxylase alpha subunit [EC:6.4.1.3]","Ethylmalonyl pathway"
"1709","K01966","M00373","PCCB, pccB; propionyl-CoA carboxylase beta subunit [EC:6.4.1.3 2.1.3.15]","Ethylmalonyl pathway"
"1710","K05606","M00373","MCEE, epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]","Ethylmalonyl pathway"
"1711","K01847","M00373","MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]","Ethylmalonyl pathway"
"1712","K00169","M00374","porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]","Dicarboxylate-hydroxybutyrate cycle"
"1713","K00170","M00374","porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]","Dicarboxylate-hydroxybutyrate cycle"
"1714","K00171","M00374","porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]","Dicarboxylate-hydroxybutyrate cycle"
"1715","K00172","M00374","porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]","Dicarboxylate-hydroxybutyrate cycle"
"1716","K01007","M00374","pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]","Dicarboxylate-hydroxybutyrate cycle"
"1717","K01595","M00374","ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]","Dicarboxylate-hydroxybutyrate cycle"
"1718","K00024","M00374","mdh; malate dehydrogenase [EC:1.1.1.37]","Dicarboxylate-hydroxybutyrate cycle"
"1719","K01677","M00374","E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]","Dicarboxylate-hydroxybutyrate cycle"
"1720","K01678","M00374","E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]","Dicarboxylate-hydroxybutyrate cycle"
"1721","K00239","M00374","sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]","Dicarboxylate-hydroxybutyrate cycle"
"1722","K00240","M00374","sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]","Dicarboxylate-hydroxybutyrate cycle"
"1723","K00241","M00374","sdhC, frdC; succinate dehydrogenase cytochrome b subunit","Dicarboxylate-hydroxybutyrate cycle"
"1724","K18860","M00374","sdhD, frdD; succinate dehydrogenase subunit D","Dicarboxylate-hydroxybutyrate cycle"
"1725","K01902","M00374","sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]","Dicarboxylate-hydroxybutyrate cycle"
"1726","K01903","M00374","sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]","Dicarboxylate-hydroxybutyrate cycle"
"1727","K15038","M00374","K15038; succinyl-CoA reductase [EC:1.2.1.76]","Dicarboxylate-hydroxybutyrate cycle"
"1728","K15017","M00374","K15017; malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76]","Dicarboxylate-hydroxybutyrate cycle"
"1729","K14465","M00374","K14465; succinate semialdehyde reductase (NADPH) [EC:1.1.1.-]","Dicarboxylate-hydroxybutyrate cycle"
"1730","K14467","M00374","4hbl; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]","Dicarboxylate-hydroxybutyrate cycle"
"1731","K18861","M00374","K18861; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]","Dicarboxylate-hydroxybutyrate cycle"
"1732","K25774","M00374","K25774; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]","Dicarboxylate-hydroxybutyrate cycle"
"1733","K14534","M00374","abfD; 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3]","Dicarboxylate-hydroxybutyrate cycle"
"1734","K15016","M00374","K15016; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35]","Dicarboxylate-hydroxybutyrate cycle"
"1735","K00626","M00374","ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]","Dicarboxylate-hydroxybutyrate cycle"
"1736","K01964","M00375","K01964; acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3]","Hydroxypropionate-hydroxybutylate cycle"
"1737","K15037","M00375","K15037; biotin carboxyl carrier protein","Hydroxypropionate-hydroxybutylate cycle"
"1738","K15036","M00375","K15036; acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15]","Hydroxypropionate-hydroxybutylate cycle"
"1739","K15017","M00375","K15017; malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76]","Hydroxypropionate-hydroxybutylate cycle"
"1740","K15039","M00375","K15039; 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.1.1.298]","Hydroxypropionate-hydroxybutylate cycle"
"1741","K15018","M00375","K15018; 3-hydroxypropionyl-coenzyme A synthetase [EC:6.2.1.36]","Hydroxypropionate-hydroxybutylate cycle"
"1742","K15019","M00375","K15019; 3-hydroxypropionyl-coenzyme A dehydratase [EC:4.2.1.116]","Hydroxypropionate-hydroxybutylate cycle"
"1743","K15020","M00375","K15020; acryloyl-coenzyme A reductase [EC:1.3.1.84]","Hydroxypropionate-hydroxybutylate cycle"
"1744","K05606","M00375","MCEE, epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]","Hydroxypropionate-hydroxybutylate cycle"
"1745","K01848","M00375","E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]","Hydroxypropionate-hydroxybutylate cycle"
"1746","K01849","M00375","E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]","Hydroxypropionate-hydroxybutylate cycle"
"1747","K15038","M00375","K15038; succinyl-CoA reductase [EC:1.2.1.76]","Hydroxypropionate-hydroxybutylate cycle"
"1748","K15017","M00375","K15017; malonyl-CoA/succinyl-CoA reductase (NADPH) [EC:1.2.1.75 1.2.1.76]","Hydroxypropionate-hydroxybutylate cycle"
"1749","K14465","M00375","K14465; succinate semialdehyde reductase (NADPH) [EC:1.1.1.-]","Hydroxypropionate-hydroxybutylate cycle"
"1750","K14466","M00375","K14466; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]","Hydroxypropionate-hydroxybutylate cycle"
"1751","K18861","M00375","K18861; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]","Hydroxypropionate-hydroxybutylate cycle"
"1752","K25774","M00375","K25774; 4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]","Hydroxypropionate-hydroxybutylate cycle"
"1753","K14534","M00375","abfD; 4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3]","Hydroxypropionate-hydroxybutylate cycle"
"1754","K15016","M00375","K15016; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35]","Hydroxypropionate-hydroxybutylate cycle"
"1755","K00626","M00375","ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]","Hydroxypropionate-hydroxybutylate cycle"
"1756","K02160","M00376","accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein","3-Hydroxypropionate bi-cycle"
"1757","K01961","M00376","accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]","3-Hydroxypropionate bi-cycle"
"1758","K01962","M00376","accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]","3-Hydroxypropionate bi-cycle"
"1759","K01963","M00376","accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]","3-Hydroxypropionate bi-cycle"
"1760","K14468","M00376","mcr; malonyl-CoA reductase / 3-hydroxypropionate dehydrogenase (NADP+) [EC:1.2.1.75 1.1.1.298]","3-Hydroxypropionate bi-cycle"
"1761","K14469","M00376","K14469; acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:1.3.1.84 4.2.1.116 6.2.1.36]","3-Hydroxypropionate bi-cycle"
"1762","K15052","M00376","K15052; propionyl-CoA carboxylase [EC:6.4.1.3 2.1.3.15]","3-Hydroxypropionate bi-cycle"
"1763","K05606","M00376","MCEE, epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]","3-Hydroxypropionate bi-cycle"
"1764","K01847","M00376","MUT; methylmalonyl-CoA mutase [EC:5.4.99.2]","3-Hydroxypropionate bi-cycle"
"1765","K01848","M00376","E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]","3-Hydroxypropionate bi-cycle"
"1766","K01849","M00376","E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]","3-Hydroxypropionate bi-cycle"
"1767","K14471","M00376","smtA1; succinyl-CoA:(S)-malate CoA-transferase subunit A [EC:2.8.3.22]","3-Hydroxypropionate bi-cycle"
"1768","K14472","M00376","smtB; succinyl-CoA:(S)-malate CoA-transferase subunit B [EC:2.8.3.22]","3-Hydroxypropionate bi-cycle"
"1769","K00239","M00376","sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]","3-Hydroxypropionate bi-cycle"
"1770","K00240","M00376","sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]","3-Hydroxypropionate bi-cycle"
"1771","K00241","M00376","sdhC, frdC; succinate dehydrogenase cytochrome b subunit","3-Hydroxypropionate bi-cycle"
"1772","K01679","M00376","E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]","3-Hydroxypropionate bi-cycle"
"1773","K08691","M00376","mcl; malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]","3-Hydroxypropionate bi-cycle"
"1774","K14449","M00376","mch, mcd; 2-methylfumaryl-CoA hydratase [EC:4.2.1.148]","3-Hydroxypropionate bi-cycle"
"1775","K14470","M00376","mct; 2-methylfumaryl-CoA isomerase [EC:5.4.1.3]","3-Hydroxypropionate bi-cycle"
"1776","K09709","M00376","meh; 3-methylfumaryl-CoA hydratase [EC:4.2.1.153]","3-Hydroxypropionate bi-cycle"
"1777","K00198","M00377","cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1778","K05299","M00377","fdhA; formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10]","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1779","K15022","M00377","fdhB; formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10]","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1780","K22015","M00377","fdhF; formate dehydrogenase (hydrogenase) [EC:1.17.98.4 1.17.98.-]","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1781","K25123","M00377","hydA2; iron hydrogenase HydA2 [EC:1.12.7.-]","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1782","K25124","M00377","hycB; FeS-containing electron transfer protein","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1783","K01938","M00377","fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3]","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1784","K01491","M00377","folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1785","K01500","M00377","fchA; methenyltetrahydrofolate cyclohydrolase [EC:3.5.4.9]","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1786","K00297","M00377","metF, MTHFR; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1787","K25007","M00377","metV; methylenetetrahydrofolate reductase (NADH) small subunit","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1788","K25008","M00377","rnfC2; ion-translocating oxidoreductase complex subunit C [EC:7.-.-.-]","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1789","K15023","M00377","acsE; 5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258]","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1790","K14138","M00377","acsB; acetyl-CoA synthase [EC:2.3.1.169]","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1791","K00197","M00377","cdhE, acsC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1792","K00194","M00377","cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]","Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"
"1793","K11780","M00378","cofG; 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase [EC:4.3.1.32]","F420 biosynthesis, archaea"
"1794","K11781","M00378","cofH; 5-amino-6-(D-ribitylamino)uracil---L-tyrosine 4-hydroxyphenyl transferase [EC:2.5.1.147]","F420 biosynthesis, archaea"
"1795","K14941","M00378","cofC, fbiD; 2-phospho-L-lactate/phosphoenolpyruvate guanylyltransferase [EC:2.7.7.68 2.7.7.105]","F420 biosynthesis, archaea"
"1796","K11212","M00378","cofD; LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28]","F420 biosynthesis, archaea"
"1797","K12234","M00378","cofE; coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]","F420 biosynthesis, archaea"
"1798","K10247","M00415","ELOVL1; elongation of very long chain fatty acids protein 1 [EC:2.3.1.199]","Fatty acid elongation in endoplasmic reticulum"
"1799","K10205","M00415","ELOVL2; elongation of very long chain fatty acids protein 2 [EC:2.3.1.199]","Fatty acid elongation in endoplasmic reticulum"
"1800","K10248","M00415","ELOVL3; elongation of very long chain fatty acids protein 3 [EC:2.3.1.199]","Fatty acid elongation in endoplasmic reticulum"
"1801","K10249","M00415","ELOVL4; elongation of very long chain fatty acids protein 4 [EC:2.3.1.199]","Fatty acid elongation in endoplasmic reticulum"
"1802","K10244","M00415","ELOVL5; elongation of very long chain fatty acids protein 5 [EC:2.3.1.199]","Fatty acid elongation in endoplasmic reticulum"
"1803","K10203","M00415","ELOVL6; elongation of very long chain fatty acids protein 6 [EC:2.3.1.199]","Fatty acid elongation in endoplasmic reticulum"
"1804","K10250","M00415","ELOVL7; elongation of very long chain fatty acids protein 7 [EC:2.3.1.199]","Fatty acid elongation in endoplasmic reticulum"
"1805","K15397","M00415","KCS; 3-ketoacyl-CoA synthase [EC:2.3.1.199]","Fatty acid elongation in endoplasmic reticulum"
"1806","K10245","M00415","ELO2; fatty acid elongase 2 [EC:2.3.1.199]","Fatty acid elongation in endoplasmic reticulum"
"1807","K10246","M00415","ELO3; fatty acid elongase 3 [EC:2.3.1.199]","Fatty acid elongation in endoplasmic reticulum"
"1808","K10251","M00415","HSD17B12, KAR, IFA38; 17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase [EC:1.1.1.62 1.1.1.330]","Fatty acid elongation in endoplasmic reticulum"
"1809","K10703","M00415","HACD, PHS1, PAS2; very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [EC:4.2.1.134]","Fatty acid elongation in endoplasmic reticulum"
"1810","K10258","M00415","TER, TSC13, CER10; very-long-chain enoyl-CoA reductase [EC:1.3.1.93]","Fatty acid elongation in endoplasmic reticulum"
"1811","K02827","M00416","qoxB; cytochrome aa3-600 menaquinol oxidase subunit I [EC:7.1.1.5]","Cytochrome aa3-600 menaquinol oxidase"
"1812","K02826","M00416","qoxA; cytochrome aa3-600 menaquinol oxidase subunit II [EC:7.1.1.5]","Cytochrome aa3-600 menaquinol oxidase"
"1813","K02828","M00416","qoxC; cytochrome aa3-600 menaquinol oxidase subunit III [EC:7.1.1.5]","Cytochrome aa3-600 menaquinol oxidase"
"1814","K02829","M00416","qoxD; cytochrome aa3-600 menaquinol oxidase subunit IV [EC:7.1.1.5]","Cytochrome aa3-600 menaquinol oxidase"
"1815","K02297","M00417","cyoA; cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]","Cytochrome o ubiquinol oxidase"
"1816","K02298","M00417","cyoB; cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]","Cytochrome o ubiquinol oxidase"
"1817","K02299","M00417","cyoC; cytochrome o ubiquinol oxidase subunit III","Cytochrome o ubiquinol oxidase"
"1818","K02300","M00417","cyoD; cytochrome o ubiquinol oxidase subunit IV","Cytochrome o ubiquinol oxidase"
"1819","K07540","M00418","E4.1.99.11; benzylsuccinate synthase [EC:4.1.99.11]","Toluene degradation, anaerobic, toluene => benzoyl-CoA"
"1820","K07543","M00418","bbsE; benzylsuccinate CoA-transferase BbsE subunit [EC:2.8.3.15]","Toluene degradation, anaerobic, toluene => benzoyl-CoA"
"1821","K07544","M00418","bbsF; benzylsuccinate CoA-transferase BbsF subunit [EC:2.8.3.15]","Toluene degradation, anaerobic, toluene => benzoyl-CoA"
"1822","K07545","M00418","bbsG; (R)-benzylsuccinyl-CoA dehydrogenase [EC:1.3.8.3]","Toluene degradation, anaerobic, toluene => benzoyl-CoA"
"1823","K07546","M00418","bbsH; (E)-benzylidenesuccinyl-CoA hydratase [EC:4.2.1.180]","Toluene degradation, anaerobic, toluene => benzoyl-CoA"
"1824","K07547","M00418","bbsC; (2S)-[(R)-hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase BbsC subunit [EC:1.1.1.429]","Toluene degradation, anaerobic, toluene => benzoyl-CoA"
"1825","K07548","M00418","bbsD; (2S)-[(R)-hydroxy(phenyl)methyl]-succinyl-CoA dehydrogenase BbsD subunit [EC:1.1.1.429]","Toluene degradation, anaerobic, toluene => benzoyl-CoA"
"1826","K07549","M00418","bbsA; benzoylsuccinyl-CoA thiolase BbsA subunit [EC:2.3.1.310]","Toluene degradation, anaerobic, toluene => benzoyl-CoA"
"1827","K07550","M00418","bbsB; benzoylsuccinyl-CoA thiolase BbsB subunit [EC:2.3.1.310]","Toluene degradation, anaerobic, toluene => benzoyl-CoA"
"1828","K10616","M00419","cymAa; p-cymene methyl-monooxygenase [EC:1.14.15.25]","Cymene degradation, p-cymene => p-cumate"
"1829","K18293","M00419","cymAb; p-cymene methyl-monooxygenase electron transfer component [EC:1.18.1.3]","Cymene degradation, p-cymene => p-cumate"
"1830","K10617","M00419","cymB; p-cumic alcohol dehydrogenase","Cymene degradation, p-cymene => p-cumate"
"1831","K10618","M00419","cymC; p-cumic aldehyde dehydrogenase","Cymene degradation, p-cymene => p-cumate"
"1832","K00192","M00422","cdhA; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]","Acetyl-CoA pathway, CO2 => acetyl-CoA"
"1833","K00195","M00422","cdhB; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon","Acetyl-CoA pathway, CO2 => acetyl-CoA"
"1834","K00193","M00422","cdhC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]","Acetyl-CoA pathway, CO2 => acetyl-CoA"
