"","ko","ko_description"
"1386","K10012","arnC, pmrF; undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]"
"1387","K10026","queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]"
"1388","K10046","GME; GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]"
"1389","K10047","VTC4; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase [EC:3.1.3.25 3.1.3.93]"
"1390","K10105","LIPT1; lipoyltransferase 1"
"1391","K10150","cysO; cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase [EC:2.5.1.47 2.5.1.65 4.2.1.22]"
"1392","K10158","B3GAT3; galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 [EC:2.4.1.135]"
"1393","K10203","ELOVL6; elongation of very long chain fatty acids protein 6 [EC:2.3.1.199]"
"1394","K10205","ELOVL2; elongation of very long chain fatty acids protein 2 [EC:2.3.1.199]"
"1395","K10206","E2.6.1.83; LL-diaminopimelate aminotransferase [EC:2.6.1.83]"
"1396","K10207","HSD17B3; testosterone 17beta-dehydrogenase (NADP+) [EC:1.1.1.64]"
"1397","K10214","ACOX2; 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase [EC:1.17.99.3]"
"1398","K10216","dmpD, xylF; 2-hydroxymuconate-semialdehyde hydrolase [EC:3.7.1.9]"
"1399","K10217","dmpC, xylG, praB; aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase [EC:1.2.1.32 1.2.1.85]"
"1400","K10222","bphD; 2,6-dioxo-6-phenylhexa-3-enoate hydrolase [EC:3.7.1.8]"
"1401","K10244","ELOVL5; elongation of very long chain fatty acids protein 5 [EC:2.3.1.199]"
"1402","K10245","ELO2; fatty acid elongase 2 [EC:2.3.1.199]"
"1403","K10246","ELO3; fatty acid elongase 3 [EC:2.3.1.199]"
"1404","K10247","ELOVL1; elongation of very long chain fatty acids protein 1 [EC:2.3.1.199]"
"1405","K10248","ELOVL3; elongation of very long chain fatty acids protein 3 [EC:2.3.1.199]"
"1406","K10249","ELOVL4; elongation of very long chain fatty acids protein 4 [EC:2.3.1.199]"
"1407","K10250","ELOVL7; elongation of very long chain fatty acids protein 7 [EC:2.3.1.199]"
"1408","K10251","HSD17B12, KAR, IFA38; 17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase [EC:1.1.1.62 1.1.1.330]"
"1409","K10258","TER, TSC13, CER10; very-long-chain enoyl-CoA reductase [EC:1.3.1.93]"
"1410","K10525","AOC; allene oxide cyclase [EC:5.3.99.6]"
"1411","K10526","OPCL1; OPC-8:0 CoA ligase 1 [EC:6.2.1.-]"
"1412","K10527","MFP2; enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35 1.1.1.211]"
"1413","K10532","HGSNAT; heparan-alpha-glucosaminide N-acetyltransferase [EC:2.3.1.78]"
"1414","K10534","NR; nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]"
"1415","K10535","hao; hydroxylamine dehydrogenase [EC:1.7.2.6]"
"1416","K10572","IPPK; inositol-pentakisphosphate 2-kinase [EC:2.7.1.158]"
"1417","K10616","cymAa; p-cymene methyl-monooxygenase [EC:1.14.15.25]"
"1418","K10617","cymB; p-cumic alcohol dehydrogenase"
"1419","K10618","cymC; p-cumic aldehyde dehydrogenase"
"1420","K10619","cmtAb; p-cumate 2,3-dioxygenase subunit alpha [EC:1.14.12.25]"
"1421","K10620","cmtB; 2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase [EC:1.3.1.58]"
"1422","K10621","cmtC, dhbA; 2,3-dihydroxy-p-cumate/2,3-dihydroxybenzoate 3,4-dioxygenase [EC:1.13.11.- 1.13.11.14]"
"1423","K10622","cmtD, dhbB; HCOMODA/2-hydroxy-3-carboxy-muconic semialdehyde decarboxylase [EC:4.1.1.-]"
"1424","K10623","cmtE; HOMODA hydrolase [EC:3.7.1.-]"
"1425","K10703","HACD, PHS1, PAS2; very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [EC:4.2.1.134]"
"1426","K10775","PAL; phenylalanine ammonia-lyase [EC:4.3.1.24]"
"1427","K10780","fabL; enoyl-[acyl-carrier protein] reductase III [EC:1.3.1.104]"
"1428","K10807","RRM1; ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1]"
"1429","K10808","RRM2; ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1]"
"1430","K10810","tenI; thiazole tautomerase (transcriptional regulator TenI) [EC:5.3.99.10]"
"1431","K10817","eryAI; 6-deoxyerythronolide-B synthase EryAI [EC:2.3.1.94]"
"1432","K10852","PENDE; isopenicillin-N N-acyltransferase [EC:2.3.1.164]"
"1433","K10919","tcpH; toxin coregulated pilus biosynthesis protein H"
"1434","K10920","tcpP; toxin coregulated pilus biosynthesis protein P"
"1435","K10928","ctxA; cholera enterotoxin subunit A [EC:2.4.2.36]"
"1436","K10929","ctxB; cholera enterotoxin subunit B"
"1437","K10930","tcpA; toxin coregulated pilin"
"1438","K10931","tcpB; toxin coregulated pilus biosynthesis protein B"
"1439","K10932","tcpC; toxin coregulated pilus biosynthesis outer membrane protein C"
"1440","K10933","tcpD; toxin coregulated pilus biosynthesis protein D"
"1441","K10934","tcpE; toxin coregulated pilus biosynthesis protein E"
"1442","K10935","tcpF; toxin coregulated pilus biosynthesis protein F"
"1443","K10944","pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]"
"1444","K10945","pmoB-amoB; methane/ammonia monooxygenase subunit B"
"1445","K10946","pmoC-amoC; methane/ammonia monooxygenase subunit C"
"1446","K10948","hlyA; hemolysin"
"1447","K10952","ace; accessory cholera enterotoxin"
"1448","K10953","rtxA; RTX toxin RtxA"
"1449","K10954","zot; zona occludens toxin"
"1450","K10961","tcpI; toxin coregulated pilus biosynthesis protein I"
"1451","K10962","tcpQ; toxin coregulated pilus biosynthesis protein Q"
"1452","K10963","tcpR; toxin coregulated pilus biosynthesis protein R"
"1453","K10964","tcpS; toxin coregulated pilus biosynthesis protein S"
"1454","K10965","tcpT; toxin coregulated pilus biosynthesis protein T"
"1455","K10966","tcpJ; toxin coregulated pilus biosynthesis protein J [EC:3.4.23.43 2.1.1.-]"
"1456","K10977","aksA; methanogen homocitrate synthase [EC:2.3.3.14 2.3.3.-]"
"1457","K10978","aksF; methanogen homoisocitrate dehydrogenase [EC:1.1.1.87 1.1.1.-]"
"1458","K11001","PIGY; phosphatidylinositol N-acetylglucosaminyltransferase subunit Y"
"1459","K11002","ERI1; phosphatidylinositol N-acetylglucosaminyltransferase ERI1 subunit"
"1460","K11003","hlyD, cyaD; membrane fusion protein, hemolysin D"
"1461","K11004","hlyB, cyaB; ATP-binding cassette, subfamily B, bacterial HlyB/CyaB"
"1462","K11006","stxA; shiga toxin subunit A"
"1463","K11007","stxB; shiga toxin subunit B"
"1464","K11014","cdtB; cytolethal distending toxin subunit B"
"1465","K11018","tlh; thermolabile hemolysin"
"1466","K11023","ptxA, artA, pltA; pertussis toxin subunit 1 [EC:2.4.2.-]"
"1467","K11024","ptxB; pertussis toxin subunit 2"
"1468","K11025","ptxC; pertussis toxin subunit 3"
"1469","K11026","ptxD; pertussis toxin subunit 4"
"1470","K11027","ptxE; pertussis toxin subunit 5"
"1471","K11029","cyaA; anthrax edema toxin adenylate cyclase [EC:4.6.1.1]"
"1472","K11030","pagA; protective antigen"
"1473","K11155","DGAT1; diacylglycerol O-acyltransferase 1 [EC:2.3.1.20 2.3.1.75 2.3.1.76]"
"1474","K11160","DGAT2; diacylglycerol O-acyltransferase 2 [EC:2.3.1.20 2.3.1.75]"
"1475","K11175","purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]"
"1476","K11176","purO; IMP cyclohydrolase [EC:3.5.4.10]"
"1477","K11177","yagR; xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4]"
"1478","K11178","yagS; xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4]"
"1479","K11180","dsrA; dissimilatory sulfite reductase alpha subunit [EC:1.8.1.22]"
"1480","K11181","dsrB; dissimilatory sulfite reductase beta subunit [EC:1.8.1.22]"
"1481","K11204","GCLC; glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2]"
"1482","K11205","GCLM; glutamate--cysteine ligase regulatory subunit"
"1483","K11212","cofD; LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28]"
"1484","K11258","ilvM; acetolactate synthase II small subunit [EC:2.2.1.6]"
"1485","K11260","fwdG; 4Fe-4S ferredoxin"
"1486","K11261","fwdE, fmdE; formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12]"
"1487","K11262","ACACA; acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15]"
"1488","K11263","bccA, pccA, accA3; acetyl-CoA/propionyl-CoA/long-chain acyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.4.1.- 6.3.4.14]"
"1489","K11311","antC; anthranilate 1,2-dioxygenase reductase component [EC:1.18.1.-]"
"1490","K11351","NDUFB11; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11"
"1491","K11352","NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12"
"1492","K11353","NDUFA13; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13"
"1493","K11381","bkdA; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]"
"1494","K11389","gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]"
"1495","K11395","kdpgA; 2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]"
"1496","K11440","gbsB; choline dehydrogenase [EC:1.1.1.1]"
"1497","K11517","HAO; (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]"
"1498","K11529","gck, gckA, GLYCTK; glycerate 2-kinase [EC:2.7.1.165]"
"1499","K11532","glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]"
"1500","K11533","fas; fatty acid synthase, bacteria type [EC:2.3.1.-]"
"1501","K11539","CBR4; carbonyl reductase 4 / 3-oxoacyl-[acyl-carrier protein] reductase beta subunit [EC:1.1.1.-]"
"1502","K11540","CAD; carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase [EC:6.3.5.5 2.1.3.2 3.5.2.3]"
"1503","K11541","URA2; carbamoyl-phosphate synthase / aspartate carbamoyltransferase [EC:6.3.5.5 2.1.3.2]"
"1504","K11608","mtfabH; mycobacterial beta-ketoacyl-[acyl-carrier protein] synthase III [EC:2.3.1.301]"
"1505","K11609","kasA; meromycolic acid 3-oxoacyl-[acyl-carrier protein] synthase I [EC:2.3.1.293]"
"1506","K11610","mabA; meromycolic acid 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.-]"
"1507","K11611","inhA; meromycolic acid enoyl-[acyl-carrier protein] reductase [EC:1.3.1.118]"
"1508","K11645","fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
"1509","K11751","ushA; 5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]"
"1510","K11752","ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]"
"1511","K11753","ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]"
"1512","K11754","folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]"
"1513","K11755","hisIE; phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase [EC:3.5.4.19 3.6.1.31]"
"1514","K11780","cofG; 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase [EC:4.3.1.32]"
"1515","K11781","cofH; 5-amino-6-(D-ribitylamino)uracil---L-tyrosine 4-hydroxyphenyl transferase [EC:2.5.1.147]"
"1516","K11782","mqnA; chorismate dehydratase [EC:4.2.1.151]"
"1517","K11783","mqnB; futalosine hydrolase [EC:3.2.2.26]"
"1518","K11784","mqnC; cyclic dehypoxanthinyl futalosine synthase [EC:1.21.98.1]"
"1519","K11785","mqnD; 5,8-dihydroxy-2-naphthoate synthase [EC:4.1.99.29]"
"1520","K11787","GART; phosphoribosylamine--glycine ligase / phosphoribosylglycinamide formyltransferase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 2.1.2.2 6.3.3.1]"
"1521","K11788","ADE5; phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 6.3.3.1]"
"1522","K11808","ADE2; phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21]"
"1523","K11812","CYP79B1_2; tryptophan N-monooxygenase [EC:1.14.14.156]"
"1524","K11813","CYP79B3; tryptophan N-monooxygenase [EC:1.14.14.156]"
"1525","K11818","CYP83B1; aromatic aldoxime N-monooxygenase [EC:1.14.14.45]"
"1526","K11819","SUR1, RTY; S-alkyl-thiohydroximate lyase SUR1 [EC:4.4.1.-]"
"1527","K11820","UGT74B1; N-hydroxythioamide S-beta-glucosyltransferase [EC:2.4.1.195]"
"1528","K11821","ST5A, SOT16; aromatic desulfoglucosinolate sulfotransferase [EC:2.8.2.24]"
"1529","K11992","ACOT8, PTE; acyl-CoA thioesterase 8 [EC:3.1.2.27]"
"1530","K12073","E3.1.2.28; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]"
"1531","K12086","cag1; cag pathogenicity island protein 1"
"1532","K12087","cag2; cag pathogenicity island protein 2"
"1533","K12088","cag3; cag pathogenicity island protein 3"
"1534","K12089","cag4; cag pathogenicity island protein 4"
"1535","K12090","cag5; cag pathogenicity island protein 5"
"1536","K12091","cag6; cag pathogenicity island protein 6"
"1537","K12092","cag7; cag pathogenicity island protein 7"
"1538","K12093","cag8; cag pathogenicity island protein 8"
"1539","K12094","cag9; cag pathogenicity island protein 9"
"1540","K12095","cag10; cag pathogenicity island protein 10"
"1541","K12096","cag11; cag pathogenicity island protein 11"
"1542","K12097","cag12; cag pathogenicity island protein 12"
"1543","K12098","cag13; cag pathogenicity island protein 13"
"1544","K12099","cag14; cag pathogenicity island protein 14"
"1545","K12100","cag15; cag pathogenicity island protein 15"
"1546","K12101","cag16; cag pathogenicity island protein 16"
"1547","K12102","cag17; cag pathogenicity island protein 17"
"1548","K12103","cag18; cag pathogenicity island protein 18"
"1549","K12104","cag19; cag pathogenicity island protein 19"
"1550","K12105","cag20; cag pathogenicity island protein 20"
"1551","K12106","cag21; cag pathogenicity island protein 21"
"1552","K12107","cag22; cag pathogenicity island protein 22"
"1553","K12108","cag23; cag pathogenicity island protein 23 [EC:7.4.2.8]"
"1554","K12109","cag24; cag pathogenicity island protein 24"
"1555","K12110","cag25; cag pathogenicity island protein 25"
"1556","K12234","cofE; coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]"
"1557","K12250","ptlA; pentalenene synthase [EC:4.2.3.7]"
"1558","K12298","CEL; bile salt-stimulated lipase [EC:3.1.1.3 3.1.1.13]"
"1559","K12309","GLB1, ELNR1; beta-galactosidase [EC:3.2.1.23]"
"1560","K12340","tolC, bepC, cyaE, raxC, sapF, rsaF, hasF; outer membrane protein"
"1561","K12343","SRD5A1; 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [EC:1.3.1.22]"
"1562","K12344","SRD5A2; 3-oxo-5-alpha-steroid 4-dehydrogenase 2 [EC:1.3.1.22]"
"1563","K12345","SRD5A3; 3-oxo-5-alpha-steroid 4-dehydrogenase 3 / polyprenol reductase [EC:1.3.1.22 1.3.1.94]"
"1564","K12348","ASAH1; acid ceramidase [EC:3.5.1.23]"
"1565","K12349","ASAH2; neutral ceramidase [EC:3.5.1.23]"
"1566","K12373","HEXA_B; hexosaminidase [EC:3.2.1.52]"
"1567","K12405","HSD17B4; (3R)-3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase / enoyl-CoA hydratase 2 [EC:1.1.1.- 4.2.1.107 4.2.1.119]"
"1568","K12406","PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]"
"1569","K12407","GCK; glucokinase [EC:2.7.1.2]"
"1570","K12408","HSD3B7; cholest-5-ene-3beta,7alpha-diol 3beta-dehydrogenase [EC:1.1.1.181]"
"1571","K12420","actIII, oxyJ, snoaD, aknA; ketoreductase [EC:1.1.1.-]"
"1572","K12428","fadD32; fatty acyl-AMP ligase FadD32 [EC:6.2.1.-]"
"1573","K12437","pks13; polyketide synthase 13"
"1574","K12447","USP; UDP-sugar pyrophosphorylase [EC:2.7.7.64]"
"1575","K12501","HST; homogentisate solanesyltransferase [EC:2.5.1.117]"
"1576","K12502","VTE3, APG1; MPBQ/MSBQ methyltransferase [EC:2.1.1.295]"
"1577","K12506","ispDF; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]"
"1578","K12524","thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]"
"1579","K12525","metL; bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]"
"1580","K12526","lysAC; bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]"
"1581","K12628","pur10; puromycin biosynthesis protein Pur10 [EC:1.-.-.-]"
"1582","K12629","pur7; puromycin biosynthesis protein Pur7 [EC:3.-.-.-]"
"1583","K12630","pur4; puromycin biosynthesis protein Pur4 [EC:2.-.-.-]"
"1584","K12631","pur6; puromycin biosynthesis protein Pur6"
"1585","K12632","pac; puromycin N-acetyltransferase [EC:2.3.-.-]"
"1586","K12633","pur5; N-methyl-transferase [EC:2.1.1.-]"
"1587","K12634","pur3; puromycin biosynthesis protein Pur3"
"1588","K12635","dmpM; O-demethylpuromycin O-methyltransferase [EC:2.1.1.38]"
"1589","K12636","napH; N-acetylpuromycin N-acetylhydrolase"
"1590","K12637","CYP90C1, ROT3; 3-epi-6-deoxocathasterone 23-monooxygenase [EC:1.14.14.147]"
"1591","K12638","CYP90D1; 3-epi-6-deoxocathasterone 23-monooxygenase [EC:1.14.14.147]"
"1592","K12639","CYP724, D11; steroid 22S-hydroxylase [EC:1.14.14.178]"
"1593","K12640","CYP85A2, BR6OX2; brassinosteroid 6-oxygenase / brassinolide synthase [EC:1.14.14.179 1.14.14.180]"
"1594","K12657","ALDH18A1, P5CS; delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41]"
"1595","K12658","lhpA; 4-hydroxyproline epimerase [EC:5.1.1.8]"
"1596","K12659","ARG56; N-acetyl-gamma-glutamyl-phosphate reductase / acetylglutamate kinase [EC:1.2.1.38 2.7.2.8]"
"1597","K12666","RPN1, OST1; dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit 1 (ribophorin I)"
"1598","K12667","RPN2, SWP1; dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit 2 (ribophorin II)"
"1599","K12668","DAD1, OST2; dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit DAD1/OST2"
"1600","K12669","OST3_6; dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit 3/6"
"1601","K12670","DDOST, WBP1; dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit DDOST/WBP1"
"1602","K12673","ceaS; N2-(2-carboxyethyl)arginine synthase [EC:2.5.1.66]"
"1603","K12674","bls; (carboxyethyl)arginine beta-lactam-synthase [EC:6.3.3.4]"
"1604","K12675","cs; clavaminate synthase [EC:1.14.11.21]"
"1605","K12676","pah; proclavaminate amidinohydrolase [EC:3.5.3.22]"
"1606","K12691","OST5; dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit 5"
"1607","K12693","SGR1; strictosidine beta-D-glucosidase [EC:3.2.1.105]"
"1608","K12694","E2.3.1.160; vinorine synthase [EC:2.3.1.160]"
"1609","K12696","CYP71D12; tabersonine 16-hydroxylase [EC:1.14.14.103]"
"1610","K12697","D4H; deacetoxyvindoline 4-hydroxylase [EC:1.14.11.20]"
"1611","K12698","DAT; deacetylvindoline O-acetyltransferase [EC:2.3.1.107]"
"1612","K12710","novU; C-methyltransferase [EC:2.1.1.-]"
"1613","K12743","PCBAB; N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valine synthase [EC:6.3.2.26]"
"1614","K12744","cefE; deacetoxycephalosporin-C synthase [EC:1.14.20.1]"
"1615","K12745","cefF; deacetoxycephalosporin-C hydroxylase [EC:1.14.11.26]"
"1616","K12784","tir; translocated intimin receptor"
"1617","K12785","espG, virA; LEE-encoded effector EspG"
"1618","K12786","espF; LEE-encoded effector EspF"
"1619","K12787","map; LEE-encoded effector Map"
"1620","K12788","espH; LEE-encoded effector EspH"
"1621","K12901","fomC; phosphonoacetaldehyde reductase"
"1622","K12902","fom3; phosphonoacetaldehyde methylase [EC:2.1.1.308]"
"1623","K12903","fom4; (S)-2-hydroxypropylphosphonic acid epoxidase [EC:1.11.1.23]"
"1624","K12917","P450I, CYP68A; cytochrome P450 monooxygenase 1"
"1625","K12918","P450II, CYP68B; cytochrome P450 monooxygenase 2"
"1626","K12919","P450III, CYP69A; cytochrome P450 monooxygenase 3"
"1627","K12977","lpxE; lipid A 1-phosphatase [EC:3.1.3.-]"
"1628","K13014","arnD; undecaprenyl phosphate-alpha-L-ara4FN deformylase [EC:3.5.1.-]"
"1629","K13027","CYP79A1; tyrosine N-monooxygenase [EC:1.14.14.36]"
"1630","K13029","CYP71E1; 4-hydroxyphenylacetaldehyde oxime monooxygenase [EC:1.14.14.37]"
"1631","K13030","UGT85B1; cyanohydrin beta-glucosyltransferase [EC:2.4.1.85]"
"1632","K13034","ATCYSC1; L-3-cyanoalanine synthase/ cysteine synthase [EC:2.5.1.47 4.4.1.9]"
"1633","K13037","bacD; L-alanine-L-anticapsin ligase [EC:6.3.2.49]"
"1634","K13038","coaBC, dfp; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]"
"1635","K13039","comE; sulfopyruvate decarboxylase subunit beta [EC:4.1.1.79]"
"1636","K13063","phzE; 2-amino-4-deoxychorismate synthase [EC:2.6.1.86]"
"1637","K13064","PTAL; phenylalanine/tyrosine ammonia-lyase [EC:4.3.1.25]"
"1638","K13065","E2.3.1.133, HCT; shikimate O-hydroxycinnamoyltransferase [EC:2.3.1.133]"
"1639","K13066","COMT; caffeic acid 3-O-methyltransferase / acetylserotonin O-methyltransferase [EC:2.1.1.68 2.1.1.4]"
"1640","K13082","DFR; bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase [EC:1.1.1.219 1.1.1.234]"
"1641","K13222","BX1, IGL; indole-3-glycerol-phosphate lyase [EC:4.1.2.8]"
"1642","K13223","BX2, CYP71C4, CYP71C9; indole-2-monooxygenase [EC:1.14.14.153]"
"1643","K13224","BX3, CYP71C2, CYP71C7; indolin-2-one monooxygenase [EC:1.14.14.157]"
"1644","K13225","BX4, CYP71C1, CYP71C6; 3-hydroxyindolin-2-one monooxygenase [EC:1.14.14.109]"
"1645","K13226","BX5, CYP71C3, CYP71C8; 2-hydroxy-1,4-benzoxazin-3-one monooxygenase [EC:1.14.14.110]"
"1646","K13227","BX8_9; UDP-glucosyltransferase BX8/BX9 [EC:2.4.1.202]"
"1647","K13229","BX6; 2,4-dihydroxy-1,4-benzoxazin-3-one-glucoside dioxygenase [EC:1.14.11.59]"
"1648","K13230","BX7; 2,4,7-trihydroxy-1,4-benzoxazin-3-one-glucoside 7-O-methyltransferase [EC:2.1.1.241]"
"1649","K13247","CRYL1; L-gulonate 3-dehydrogenase [EC:1.1.1.45]"
"1650","K13257","CYP93C; 2-hydroxyisoflavanone synthase [EC:1.14.14.87]"
"1651","K13258","HIDH; 2-hydroxyisoflavanone dehydratase [EC:4.2.1.105]"
"1652","K13259","HI4OMT; 2,7,4'-trihydroxyisoflavanone 4'-O-methyltransferase / isoflavone 4'-O-methyltransferase [EC:2.1.1.212 2.1.1.46]"
"1653","K13260","CYP81E; isoflavone/4'-methoxyisoflavone 2'-hydroxylase [EC:1.14.14.90 1.14.14.89]"
"1654","K13265","VR; vestitone reductase [EC:1.1.1.348]"
"1655","K13273","PMVK; phosphomevalonate kinase [EC:2.7.4.2]"
"1656","K13307","tylMI; dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase [EC:2.1.1.235]"
"1657","K13308","desI, eryCIV; dTDP-4-amino-4,6-dideoxy-D-glucose transaminase [EC:2.6.1.33]"
"1658","K13309","desII, eryCV; dTDP-4-amino-4,6-dideoxy-D-glucose ammonia-lyase [EC:4.3.1.30]"
"1659","K13310","desV, eryCI; dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase [EC:2.6.1.106]"
"1660","K13311","desVI, eryCVI; dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase [EC:2.1.1.234]"
"1661","K13312","tylJ, gerF; dTDP-4-dehydro-6-deoxy-D-glucose 3-epimerase [EC:5.1.3.27]"
"1662","K13313","tylD, gerKI, mydI; dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase [EC:1.1.1.364]"
"1663","K13315","eryBII, tylCII, tylC1, calS12, atmS12; NDP-hexose C3-ketoreductase / dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene 2,3-reductase [EC:1.1.1.-]"
"1664","K13316","tylCVII, tylK; NDP-hexose 5-epimerase [EC:5.1.3.-]"
"1665","K13317","eryBIII, tylCIII, tylC3; NDP-4-keto-2,6-dideoxyhexose 3-C-methyltransferase [EC:2.1.1.-]"
"1666","K13318","eryBIV, tylCIV, tylC2; dTDP-4-keto-6-deoxy-L-hexose 4-reductase [EC:1.1.1.-]"
"1667","K13319","oleU; 4-ketoreductase"
"1668","K13320","oleY; L-olivosyl-oleandolide 3-O-methyltransferase [EC:2.1.1.239]"
"1669","K13322","megDV; dTDP-4-keto-6-deoxyhexose 4-ketoreductase"
"1670","K13326","megDIII; dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase [EC:2.1.1.- 2.1.1.234]"
"1671","K13327","spnN, oleW; dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase [EC:1.1.1.384]"
"1672","K13328","spnQ; dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase [EC:4.2.1.164]"
"1673","K13329","spnR; dTDP-4-dehydro-2,3,6-trideoxy-D-glucose 4-aminotransferase [EC:2.6.1.110]"
"1674","K13330","spnS; dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose N,N-dimethyltransferase [EC:2.1.1.324]"
"1675","K13332","angMI; N,N-dimethyltransferase"
"1676","K13367","FMS1; polyamine oxidase [EC:1.5.3.17]"
"1677","K13368","HSD17B2; 17beta-estradiol 17-dehydrogenase / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) [EC:1.1.1.62 1.1.1.239]"
